time;HPS;F;HCS;CCS;W;EEV;Tae;Tbe;SH;Tsump;Tho;Ttarget;lt_pow;lt_on;ERR
2026.09.26 15:50:21;0;0;0;0;20;45;14.8;14.7;0.1;15.4;19.2;36.9;0;0;0
2026.09.26 15:50:51;0;0;0;0;20;45;14.9;14.7;0.2;15.4;19.2;36.9;0;0;0
2026.09.26 15:51:21;0;0;0;0;20;45;14.8;14.7;0.1;15.4;19.2;36.9;0;0;0
2026.09.26 15:51:21;0;0;0;0;20;45;14.8;14.7;0.1;15.4;19.2;36.9;0;0;0
2026.09.26 15:51:38;0;0;0;0;20;45;14.9;14.6;0.3;15.4;19.2;36.9;0;0;0
2026.09.26 15:52:07;0;0;0;0;20;45;14.9;14.6;0.3;15.4;19.2;36.9;0;0;0
2026.09.26 15:52:37;0;0;0;0;20;45;14.9;14.6;0.3;15.4;19.2;36.9;0;0;0
2026.09.26 15:52:44;0;0;0;0;20;45;14.9;14.6;0.3;15.4;19.2;36.9;0;0;0
2026.09.26 15:53:14;0;0;0;0;20;45;15;14.6;0.4;15.4;19.2;36.9;0;0;0
2026.09.26 15:53:44;0;0;0;0;20;45;15;14.6;0.4;15.4;19.2;36.9;0;0;0
2026.09.26 15:54:14;0;0;0;0;20;45;15.1;14.5;0.6;15.4;19.2;36.9;0;0;0
2026.09.26 15:54:44;0;0;0;0;20;45;15;14.6;0.4;15.4;19.2;36.9;0;0;0
2026.09.26 15:55:14;0;0;0;0;20;45;15.1;14.5;0.6;15.4;19.2;36.9;0;0;0
2026.09.26 15:55:44;0;0;0;0;20;45;15.1;14.5;0.6;15.4;19.1;36.9;0;0;0
2026.09.26 15:55:49;1;1;0;0;1743;49;15.1;14.5;0.6;15.4;19.1;36.9;1;2;0
2026.09.26 15:55:58;1;1;1;1;2695;50;14.9;13.9;1;15.5;19.1;36.9;9;13;0
2026.09.26 15:56:08;1;1;1;1;2652;50;14.5;13.1;1.4;16.3;19.1;36.9;16;23;0
2026.09.26 15:56:18;1;1;1;1;2915;50;14.1;12.3;1.8;17.7;19.4;36.9;24;33;0
2026.09.26 15:56:28;1;1;1;1;2827;50;13.6;11.6;2;19.5;19.9;37;32;43;0
2026.09.26 15:56:38;1;1;1;1;2918;51;13.1;11;2.1;21.2;20.5;37;40;53;0
2026.09.26 15:56:48;1;1;1;1;2924;51;12.7;10.5;2.2;22.9;21.3;37.1;48;63;0
2026.09.26 15:56:58;1;1;1;1;2950;51;12.3;10.1;2.2;24.5;22.2;37.1;56;73;0
2026.09.26 15:57:08;1;1;1;1;2962;51;11.9;9.8;2.1;26.1;23.1;37.2;65;83;0
2026.09.26 15:57:18;1;1;1;1;2931;52;11.7;9.5;2.2;27.5;24.1;37.2;73;93;0
2026.09.26 15:57:28;1;1;1;1;2956;52;11.4;9.4;2;28.7;25.1;37.4;81;103;0
2026.09.26 15:57:38;1;1;1;1;2921;52;11.2;9.1;2.1;29.9;25.9;37.6;89;113;0
2026.09.26 15:57:48;1;1;1;1;2936;52;11;8.9;2.1;31;26.8;37.6;97;123;0
2026.09.26 15:57:58;1;1;1;1;2928;53;10.8;8.8;2;32;27.7;37.7;105;133;0
2026.09.26 15:58:08;1;1;1;1;2944;53;10.7;8.7;2;32.9;28.5;37.8;114;143;0
2026.09.26 15:58:18;1;1;1;1;2955;53;10.6;8.6;2;33.8;29.2;37.9;122;153;0
2026.09.26 15:58:28;1;1;1;1;2949;53;10.5;8.5;2;34.6;30;38.1;130;163;0
2026.09.26 15:58:38;1;1;1;1;2956;54;10.4;8.4;2;35.4;30.7;38.2;138;173;0
2026.09.26 15:58:48;1;1;1;1;2958;54;10.3;8.4;1.9;36.1;31.3;38.4;146;183;0
2026.09.26 15:58:58;1;1;1;1;2959;54;10.3;8.4;1.9;36.7;31.9;38.4;154;193;0
2026.09.26 15:59:08;1;1;1;1;2934;54;10.3;8.2;2.1;37.2;32.6;38.6;163;203;0
2026.09.26 15:59:18;1;1;1;1;2960;55;10.3;8.3;2;37.8;33.1;38.7;171;213;0
2026.09.26 15:59:28;1;1;1;1;2941;55;10.3;8.2;2.1;38.4;33.6;38.8;179;223;0
2026.09.26 15:59:38;1;1;1;1;2959;55;10.3;8.2;2.1;38.8;34.1;38.9;187;233;0
2026.09.26 15:59:48;1;1;1;1;2947;55;10.3;8.2;2.1;39.3;34.6;39.1;195;243;0
